"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AAPL","Apple Inc.","Consumer Goods","Electronic Equipment","USA",1235646.62,23.21,275.15,1.36%,32670612
2,"MU","Micron Technology, Inc.","Technology","Semiconductor- Memory Chips","USA",56576.00,9.39,51.20,0.45%,29388539
3,"MSFT","Microsoft Corporation","Technology","Business Software & Services","USA",1164740.51,30.94,154.53,0.84%,23693546
4,"KO","The Coca-Cola Company","Consumer Goods","Beverages - Soft Drinks","USA",232176.39,30.82,54.42,0.52%,12733251
5,"PPL","PPL Corporation","Utilities","Electric Utilities","USA",25731.37,14.49,35.64,6.07%,12573519
6,"NLY","Annaly Capital Management, Inc.","Real Estate","REIT-Mortgage","USA",13499.52,,9.49,1.50%,8555087
7,"V","Visa Inc.","Financial","Credit Services","USA",398797.11,36.28,185.14,1.37%,8426780
8,"AVP","Avon Products, Inc.","Consumer Goods","Personal Products","USA",2344.72,,5.30,3.52%,8390053
9,"BSX","Boston Scientific Corporation","Healthcare","Medical Appliances & Equipment","USA",62814.88,61.51,45.09,0.94%,7514992
10,"COP","ConocoPhillips Company","Basic Materials","Independent Oil & Gas","USA",69506.40,8.54,62.70,0.18%,6946687
11,"CCL","Carnival Corporation & Plc","Services","Resorts & Casinos","USA",31551.88,10.75,47.45,1.17%,6902628
12,"WDC","Western Digital Corporation","Technology","Data Storage Devices","USA",16072.80,,54.30,1.06%,6742699
13,"ADBE","Adobe Inc.","Technology","Application Software","USA",154470.51,56.32,317.94,3.92%,6527744
14,"CDE","Coeur Mining, Inc.","Basic Materials","Gold","USA",1864.54,,7.27,4.45%,6448748
15,"LVS","Las Vegas Sands Corp.","Services","Resorts & Casinos","USA",52297.80,20.34,69.04,0.49%,5338511
16,"NKE","NIKE, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",150720.27,36.51,97.77,0.05%,5241138
17,"NEM","Newmont Goldcorp Corporation","Basic Materials","Gold","USA",34021.31,14.19,41.29,0.41%,5220857
18,"DUK","Duke Energy Corporation","Utilities","Electric Utilities","USA",67918.28,18.62,90.10,0.60%,4949203
19,"CL","Colgate-Palmolive Company","Consumer Goods","Personal Products","USA",58984.11,24.61,68.69,2.17%,4847963
20,"UMPQ","Umpqua Holdings Corporation","Financial","Regional - Pacific Banks","USA",3870.41,11.06,17.57,0.40%,4506587
21,"ADM","Archer-Daniels-Midland Company","Consumer Goods","Farm Products","USA",25402.40,22.01,45.20,0.65%,3849673
22,"AXP","American Express Company","Financial","Credit Services","USA",102894.00,16.23,124.72,1.70%,3756165
23,"ABT","Abbott Laboratories","Healthcare","Medical Appliances & Equipment","USA",152277.36,46.68,86.35,0.44%,3583877
24,"FTI","TechnipFMC plc","Basic Materials","Oil & Gas Equipment & Services","USA",8894.20,,20.00,0.50%,3557102
25,"PEP","PepsiCo, Inc.","Consumer Goods","Beverages - Soft Drinks","USA",192702.18,16.97,137.94,0.55%,3528750
26,"UNH","UnitedHealth Group Incorporated","Healthcare","Health Care Plans","USA",272216.61,20.77,285.48,0.66%,3494567
27,"MGM","MGM Resorts International","Services","Resorts & Casinos","USA",16996.69,,32.75,0.65%,3469278
28,"TXN","Texas Instruments Incorporated","Technology","Semiconductor - Broad Line","USA",118408.40,23.50,126.64,0.45%,3418570
29,"MA","Mastercard Incorporated","Financial","Credit Services","USA",294775.36,44.42,296.09,1.33%,3289321
30,"AGN","Allergan plc","Healthcare","Drugs - Generic","USA",61732.20,,188.34,0.04%,2991878
31,"FDX","FedEx Corporation","Services","Air Delivery & Freight Services","USA",42487.73,114.65,165.67,0.47%,2872279
32,"MFA","MFA Financial, Inc.","Real Estate","REIT-Mortgage","USA",3519.47,11.15,7.76,0.52%,2507020
33,"CADE","Cadence Bancorporation","Financial","Regional - Southeast Banks","USA",2144.89,10.95,17.00,0.24%,2494231
34,"RCL","Royal Caribbean Cruises Ltd.","Services","Resorts & Casinos","USA",26106.74,13.74,125.64,0.52%,2483562
35,"SWKS","Skyworks Solutions, Inc.","Technology","Semiconductor - Integrated Circuits","USA",19139.25,22.69,111.86,0.33%,2298272
36,"TCF","TCF Financial Corporation","Financial","Regional - Midwest Banks","USA",6881.58,18.30,45.74,0.51%,2232463
37,"LKQ","LKQ Corporation","Consumer Goods","Auto Parts","USA",11001.27,25.59,36.11,0.29%,2231416
38,"EIX","Edison International","Utilities","Electric Utilities","USA",26055.73,,72.69,1.74%,2167163
39,"ARNC","Arconic Inc.","Basic Materials","Aluminum","USA",13799.40,35.88,31.65,0.09%,2151630
40,"MXIM","Maxim Integrated Products, Inc.","Technology","Semiconductor - Broad Line","USA",16172.01,20.81,59.59,0.22%,2140944
41,"DRH","DiamondRock Hospitality Company","Financial","REIT - Hotel/Motel","USA",2163.55,30.00,10.74,0.85%,2103877
42,"MCD","McDonald's Corporation","Services","Restaurants","USA",149140.99,25.76,197.12,0.41%,2059757
43,"NEX","NexTier Oilfield Solutions Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",1251.51,,6.37,1.59%,1993786
44,"AMGN","Amgen Inc.","Healthcare","Biotechnology","USA",140450.74,18.17,236.74,0.32%,1990783
45,"UA","Under Armour, Inc.","Consumer Goods","Textile - Apparel Clothing","USA",,71.69,17.78,1.54%,1984552
46,"BAX","Baxter International Inc.","Healthcare","Medical Instruments & Supplies","USA",42819.60,32.13,83.96,0.54%,1836634
47,"COF","Capital One Financial Corporation","Financial","Credit Services","USA",49001.72,9.28,104.37,0.33%,1830493
48,"NEE","NextEra Energy, Inc.","Utilities","Electric Utilities","USA",115899.35,35.11,236.95,1.30%,1765239
