"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AMAL","Amalgamated Bank","Financial","Regional - Northeast Banks","USA",613.56,11.42,19.27,-0.26%,31733
2,"BCBP","BCB Bancorp, Inc.","Financial","Regional - Northeast Banks","USA",223.06,11.07,13.56,1.19%,29922
3,"CLFD","Clearfield, Inc.","Technology","Communication Equipment","USA",178.87,39.06,13.24,2.24%,21575
4,"CRD-A","Crawford & Company","Financial","Insurance Brokers","USA",337.46,19.09,11.09,0.54%,28651
5,"CRVL","CorVel Corporation","Financial","Insurance Brokers","USA",1481.45,32.46,82.44,1.38%,35344
6,"CSBR","Champions Oncology, Inc.","Healthcare","Biotechnology","USA",64.63,,5.51,-2.65%,23459
7,"CVCO","Cavco Industries, Inc.","Industrial Goods","Residential Construction","USA",1865.56,24.61,201.90,0.30%,30421
8,"DNBF","DNB Financial Corporation","Financial","Regional - Mid-Atlantic Banks","USA",207.80,18.73,47.66,1.34%,14876
9,"EARN","Ellington Residential Mortgage REIT","Financial","REIT - Residential","USA",135.86,53.37,11.10,0.91%,13077
10,"EQBK","Equity Bancshares, Inc.","Financial","Regional - Midwest Banks","USA",455.65,18.44,29.53,0.68%,29480
11,"ETON","Eton Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",110.54,,6.32,0.48%,48260
12,"FCNCA","First Citizens BancShares, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",5524.63,13.31,520.70,0.12%,20733
13,"FLIC","The First of Long Island Corporation","Financial","Regional - Northeast Banks","USA",588.79,14.42,24.31,0.45%,40830
14,"GAM","General American Investors Company, Inc.","Financial","Closed-End Fund - Equity","USA",915.21,61.79,36.64,0.69%,7598
15,"HCCI","Heritage-Crystal Clean, Inc","Industrial Goods","Pollution & Treatment Controls","USA",719.59,55.84,30.99,2.14%,38176
16,"HSII","Heidrick & Struggles International, Inc.","Services","Staffing & Outsourcing Services","USA",604.04,12.80,31.12,-1.17%,41244
17,"JOUT","Johnson Outdoors Inc.","Consumer Goods","Sporting Goods","USA",656.36,14.80,65.18,-0.09%,24585
18,"MSBI","Midland States Bancorp, Inc.","Financial","Regional - Midwest Banks","USA",685.86,11.67,28.19,0.14%,28011
19,"NCBS","Nicolet Bankshares, Inc.","Financial","Money Center Banks","USA",679.63,13.28,72.61,-0.32%,24221
20,"NVR","NVR, Inc.","Industrial Goods","Residential Construction","USA",13919.64,17.65,3803.18,-0.10%,32578
21,"OBNK","Origin Bancorp, Inc.","Financial","Regional - Southeast Banks","USA",847.02,15.62,35.83,0.20%,25395
22,"OPY","Oppenheimer Holdings Inc.","Financial","Investment Brokerage - Regional","USA",359.80,11.05,28.42,0.14%,35573
23,"PBBI","PB Bancorp, Inc.","Financial","Savings & Loans","USA",113.02,27.80,15.15,0.07%,9474
24,"PTVCB","Protective Insurance Corporation","Financial","Property & Casualty Insurance","USA",239.76,,16.92,0.89%,14506
25,"PW","Power REIT","Financial","REIT - Diversified","USA",18.05,29.27,9.60,-4.57%,42060
26,"STXB","Spirit of Texas Bancshares, Inc.","Financial","Regional - Southwest Banks","USA",414.86,17.82,22.67,-0.70%,24635
27,"TSQ","Townsquare Media, Inc.","Services","Broadcasting - Radio","USA",159.76,,8.48,2.66%,38971
28,"UFPT","UFP Technologies, Inc.","Consumer Goods","Packaging & Containers","USA",350.79,19.27,47.34,1.48%,19308
29,"VSEC","VSE Corporation","Services","Technical Services","USA",443.62,12.61,40.55,0.57%,10668
30,"YORW","The York Water Company","Utilities","Water Utilities","USA",578.92,39.03,44.26,0.23%,21145
