"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ANGO","AngioDynamics, Inc.","Healthcare","Medical Instruments & Supplies","USA",602.71,,16.49,2.93%,331801
2,"AROC","Archrock, Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",1528.23,21.11,10.09,0.30%,991658
3,"ASA","ASA Gold and Precious Metals Limited","Financial","Asset Management","USA",265.04,2.29,13.74,0.29%,253268
4,"CEMI","Chembio Diagnostics, Inc.","Healthcare","Diagnostic Substances","USA",80.08,,5.19,13.82%,432552
5,"CNNE","Cannae Holdings, Inc.","Financial","Asset Management","USA",2982.60,28.85,38.51,1.93%,624143
6,"CXO","Concho Resources Inc.","Basic Materials","Oil & Gas Drilling & Exploration","USA",17990.21,14.32,90.20,3.74%,2482953
7,"DAR","Darling Ingredients Inc.","Industrial Goods","Waste Management","USA",4762.84,45.24,28.91,2.26%,1580016
8,"ET","Energy Transfer LP","Basic Materials","Oil & Gas Equipment & Services","USA",35812.52,11.04,13.55,1.57%,15449145
9,"GE","General Electric Company","Industrial Goods","Diversified Machinery","USA",104498.10,1330.00,11.97,0.34%,85761424
10,"GLPI","Gaming and Leisure Properties, Inc.","Financial","REIT - Diversified","USA",9173.80,28.90,43.24,1.19%,837266
11,"KFFB","Kentucky First Federal Bancorp","Financial","Savings & Loans","USA",64.67,71.65,7.81,0.11%,2266
12,"LNG","Cheniere Energy, Inc.","Basic Materials","Oil & Gas Pipelines","USA",15876.08,,62.63,0.50%,1578209
13,"NR","Newpark Resources, Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",557.13,43.80,6.22,0.16%,490993
14,"OKE","ONEOK, Inc.","Utilities","Gas Utilities","USA",31690.03,25.43,76.58,1.15%,1537685
15,"OXY","Occidental Petroleum Corporation","Basic Materials","Independent Oil & Gas","USA",38037.51,31.31,43.61,2.42%,14595443
16,"PAHC","Phibro Animal Health Corporation","Healthcare","Specialized Health Services","USA",1023.58,24.83,25.38,0.32%,144060
17,"PCTI","PCTEL, Inc.","Technology","Communication Equipment","USA",165.44,,9.07,1.91%,153294
18,"PRVB","Provention Bio, Inc.","Healthcare","Biotechnology","USA",691.27,,15.70,8.20%,1024753
19,"SWX","Southwest Gas Holdings, Inc.","Utilities","Gas Utilities","USA",4137.75,20.96,76.30,0.74%,405158
20,"TAYD","Taylor Devices, Inc.","Industrial Goods","Diversified Machinery","USA",38.35,14.63,11.28,2.08%,14560
21,"TDW","Tidewater Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",755.71,,19.61,3.92%,177472
22,"WES","Western Midstream Partners, LP","Basic Materials","Oil & Gas Pipelines","USA",9205.56,15.23,20.82,2.46%,1701643
