"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ACM","AECOM","Services","Technical Services","USA",7204.19,,46.16,0.65%,1993407
2,"ARVN","Arvinas, Inc.","Healthcare","Biotechnology","USA",3395.90,,46.50,4.87%,204717
3,"ASYS","Amtech Systems, Inc.","Technology","Semiconductor Equipment & Materials","USA",103.21,33.27,7.32,1.24%,38160
4,"BKSC","Bank of South Carolina Corporation","Financial","Regional - Mid-Atlantic Banks","USA",103.65,14.65,19.23,2.65%,8074
5,"CORR","CorEnergy Infrastructure Trust, Inc.","Financial","Asset Management","USA",608.82,,45.57,1.29%,67250
6,"DX","Dynex Capital, Inc.","Real Estate","REIT-Mortgage","USA",397.20,,17.49,1.04%,152023
7,"EIGI","Endurance International Group Holdings, Inc.","Technology","Application Software","USA",729.10,,5.03,1.00%,407813
8,"INFU","InfuSystem Holdings Inc.","Healthcare","Medical Instruments & Supplies","USA",171.62,881.00,8.81,1.85%,93018
9,"NEP","NextEra Energy Partners, LP","Utilities","Diversified Utilities","USA",3206.74,,53.41,1.31%,474072
10,"OXSQ","Oxford Square Capital Corp.","Financial","Asset Management","USA",279.09,,5.84,1.57%,466123
11,"OXY","Occidental Petroleum Corporation","Basic Materials","Independent Oil & Gas","USA",40529.70,32.95,45.90,1.17%,10507553
12,"PFE","Pfizer Inc.","Healthcare","Drug Manufacturers - Major","USA",218972.06,14.53,39.49,1.54%,20411526
13,"PRVB","Provention Bio, Inc.","Healthcare","Biotechnology","USA",705.07,,15.63,5.61%,603574
14,"REPL","Replimune Group, Inc.","Healthcare","Biotechnology","USA",582.68,,17.77,7.96%,131651
15,"VALU","Value Line, Inc.","Services","Publishing - Periodicals","USA",301.36,24.07,31.49,0.77%,5387
16,"WPC","W. P. Carey Inc.","Financial","REIT - Diversified","USA",14137.05,32.66,82.08,1.55%,926660
