"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"DSPG","DSP Group, Inc.","Technology","Semiconductor - Integrated Circuits","USA",323.36,,13.98,-1.34%,88615
2,"EPOL","iShares MSCI Poland ETF","Financial","Exchange Traded Fund","USA",,,20.98,-0.05%,85517
3,"FDT","First Trust Developed Markets Ex-US AlphaDEX Fund","Financial","Exchange Traded Fund","USA",,,54.13,-0.63%,37953
4,"FLQE","Franklin LibertyQ Emerging Markets ETF","Financial","Exchange Traded Fund","USA",,,29.34,-0.11%,5069
5,"GEM","Goldman Sachs ActiveBeta Emerging Markets Equity ETF","Financial","Exchange Traded Fund","USA",,,32.35,-0.12%,88780
6,"IDEV","iShares Core MSCI International Developed Markets ETF","Financial","Exchange Traded Fund","USA",,,56.85,-0.61%,65311
7,"IEP","Icahn Enterprises L.P.","Conglomerates","Conglomerates","USA",12928.66,,62.40,-0.95%,84795
8,"IQDF","FlexShares International Quality Dividend Index Fund","Financial","Exchange Traded Fund","USA",,,23.20,-0.30%,80995
9,"MFIN","Medallion Financial Corp.","Financial","Credit Services","USA",158.69,19.41,6.27,-1.57%,49207
10,"PHR","Phreesia, Inc.","Technology","Healthcare Information Services","USA",1045.23,,28.28,0.57%,91160
11,"TPYP","Tortoise North American Pipeline Fund","Financial","Exchange Traded Fund","USA",,,22.01,-0.95%,80779
12,"UCFC","United Community Financial Corp.","Financial","Savings & Loans","USA",538.86,13.81,11.09,-0.18%,69849
