"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AAXN","Axon Enterprise, Inc.","Industrial Goods","Aerospace/Defense Products & Services","USA",4543.43,283.24,73.93,-3.44%,2187921
2,"AKCA","Akcea Therapeutics, Inc.","Healthcare","Biotechnology","USA",1595.38,,16.82,-1.00%,218902
3,"APRN","Blue Apron Holdings, Inc.","Services","Specialty Retail, Other","USA",83.78,,6.16,-3.14%,247920
4,"ASNA","Ascena Retail Group, Inc.","Services","Apparel Stores","USA",74.42,,7.19,-3.62%,308075
5,"CMD","Cantel Medical Corp.","Healthcare","Medical Instruments & Supplies","USA",2925.12,66.36,67.09,-2.34%,435765
6,"CONN","Conn's, Inc.","Services","Electronics Stores","USA",335.99,4.40,11.61,-0.85%,1513937
7,"EIDX","Eidos Therapeutics, Inc.","Healthcare","Biotechnology","USA",2160.45,,56.66,-1.67%,69070
8,"FIT","Fitbit, Inc.","Technology","Scientific & Technical Instruments","USA",1694.17,,6.44,-0.31%,7379375
9,"HBI","Hanesbrands Inc.","Consumer Goods","Textile - Apparel Clothing","USA",5269.88,9.10,14.41,-1.10%,5652192
10,"HRL","Hormel Foods Corporation","Consumer Goods","Meat Products","USA",23694.11,24.65,44.25,-0.14%,1794292
11,"HRTX","Heron Therapeutics, Inc.","Healthcare","Biotechnology","USA",2086.88,,22.90,-1.19%,761958
12,"HVT","Haverty Furniture Companies, Inc.","Services","Home Furnishing Stores","USA",384.70,15.88,19.39,-0.82%,108725
13,"LGND","Ligand Pharmaceuticals Incorporated","Healthcare","Biotechnology","USA",1839.27,3.64,101.17,-3.41%,266572
14,"MAC","The Macerich Company","Financial","REIT - Retail","USA",3662.95,45.35,25.85,-0.31%,2294942
15,"MDGL","Madrigal Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",1399.51,,86.98,-4.08%,168466
16,"MDP","Meredith Corporation","Services","Publishing - Periodicals","USA",1473.26,30.82,31.50,-0.25%,646521
17,"PAYS","PaySign, Inc.","Services","Business Services","USA",473.04,83.87,9.31,-5.67%,1076179
18,"REV","Revlon, Inc.","Consumer Goods","Personal Products","USA",1126.99,,21.22,-0.14%,55033
19,"RGS","Regis Corporation","Services","Personal Services","USA",592.87,,16.08,-3.60%,478288
20,"RLGY","Realogy Holdings Corp.","Financial","Property Management","USA",1057.72,,9.22,-0.32%,1584904
21,"SBH","Sally Beauty Holdings, Inc.","Services","Specialty Retail, Other","USA",2096.24,7.75,17.30,-4.00%,1522063
22,"SGMS","Scientific Games Corporation","Services","Gaming Activities","USA",2508.41,19.70,25.90,-3.72%,757052
23,"SNBR","Sleep Number Corporation","Consumer Goods","Home Furnishings & Fixtures","USA",1362.41,17.97,46.77,-2.40%,462636
24,"TISI","Team, Inc.","Services","Business Services","USA",479.75,,15.75,-0.32%,147968
25,"TPC","Tutor Perini Corporation","Industrial Goods","Heavy Construction","USA",616.88,,12.16,-0.90%,281958
26,"TR","Tootsie Roll Industries, Inc.","Consumer Goods","Confectioners","USA",2231.99,35.28,33.66,-0.15%,119480
27,"WDFC","WD-40 Company","Basic Materials","Specialty Chemicals","USA",2647.70,41.45,192.56,-0.36%,76145
28,"WU","The Western Union Company","Financial","Credit Services","USA",10980.27,9.94,26.10,-0.34%,4980905
29,"X","United States Steel Corporation","Basic Materials","Steel & Iron","USA",1839.76,3.03,10.74,-0.74%,10450768
