ARIZET QUANTUMSTOCKS CUSTOM SCREEN
BUY/SELL signals from Models with 75%+ success rates. 10K+ daily volume.

Ticker,Name,Volume,Model,Signal,Price,TakeProfit,StopLoss,ExitType,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
MMSI,"Merit Medical Systems, Inc.",493737,TRIMA[10]_price_crossover,Buy,$28.46,$28.68,$28.01,"1:2_ATR[20]",88.1%,2.18%,2.80%,3.91,42.00,6.8,https://arizet.com/quantumstocks/#v/pl/tk/MMSI/sn/TRIMA[10]_price_crossover/sg/Buy/bk/TRIMA[10]_price_crossover_Buy_MMSI_1:2_ATR[20]_m24/tp/Ticker/
AAL,"American Airlines Group Inc.",3162035,CMO[21]_crosses_0_level,Buy,$27.61,$27.84,$27.17,"1:2_ATR[20]",81.0%,1.43%,2.86%,1.61,21.00,6.9,https://arizet.com/quantumstocks/#v/pl/tk/AAL/sn/CMO[21]_crosses_0_level/sg/Buy/bk/CMO[21]_crosses_0_level_Buy_AAL_1:2_ATR[20]_m24/tp/Ticker/
AAN,"Aaron's,  Inc.",799620,ZIGZAGHL[3_3_0_10]_trend_follow,Buy,$69.68,$69.90,$69.23,"1:2_ATR[20]",75.0%,0.63%,2.53%,0.98,32.00,8.7,https://arizet.com/quantumstocks/#v/pl/tk/AAN/sn/ZIGZAGHL[3_3_0_10]_trend_follow/sg/Buy/bk/ZIGZAGHL[3_3_0_10]_trend_follow_Buy_AAN_1:2_ATR[20]_m24/tp/Ticker/
ZTS,"Zoetis Inc.",1810074,STOCHRSI[14_5_3]_K_crosses_80_20_levels,Buy,$126.59,$126.81,$125.92,"1:3_ATR[20]",84.7%,1.09%,1.68%,2.92,72.00,8.1,https://arizet.com/quantumstocks/#v/pl/tk/ZTS/sn/STOCHRSI[14_5_3]_K_crosses_80_20_levels/sg/Buy/bk/STOCHRSI[14_5_3]_K_crosses_80_20_levels_Buy_ZTS_1:3_ATR[20]_m24/tp/Ticker/
ZTS,"Zoetis Inc.",1810074,STOCHRSI[14_5_3]_K_crosses_80_20_levels,Buy,$126.59,$126.81,$126.14,"1:2_ATR[20]",81.9%,1.15%,1.66%,3.41,72.00,7.0,https://arizet.com/quantumstocks/#v/pl/tk/ZTS/sn/STOCHRSI[14_5_3]_K_crosses_80_20_levels/sg/Buy/bk/STOCHRSI[14_5_3]_K_crosses_80_20_levels_Buy_ZTS_1:2_ATR[20]_m24/tp/Ticker/
ZNH,"China Southern Airlines Company Limited",63004,STOCHRSI[9_5_3]_D_crosses_50_level,Buy,$31.32,$31.54,$30.65,"1:3_ATR[20]",85.7%,1.42%,3.31%,1.32,21.00,6.1,https://arizet.com/quantumstocks/#v/pl/tk/ZNH/sn/STOCHRSI[9_5_3]_D_crosses_50_level/sg/Buy/bk/STOCHRSI[9_5_3]_D_crosses_50_level_Buy_ZNH_1:3_ATR[20]_m24/tp/Ticker/
AAON,"AAON, Inc.",182681,STOCHRSI[9_5_3]_D_crosses_50_level,Buy,$46.83,$47.05,$46.38,"1:2_ATR[20]",89.5%,1.93%,2.54%,3.29,19.00,6.9,https://arizet.com/quantumstocks/#v/pl/tk/AAON/sn/STOCHRSI[9_5_3]_D_crosses_50_level/sg/Buy/bk/STOCHRSI[9_5_3]_D_crosses_50_level_Buy_AAON_1:2_ATR[20]_m24/tp/Ticker/
AAON,"AAON, Inc.",182681,STOCHRSI[9_5_3]_D_crosses_50_level,Buy,$46.83,$47.05,$46.16,"1:3_ATR[20]",94.7%,2.19%,2.59%,3.77,19.00,7.1,https://arizet.com/quantumstocks/#v/pl/tk/AAON/sn/STOCHRSI[9_5_3]_D_crosses_50_level/sg/Buy/bk/STOCHRSI[9_5_3]_D_crosses_50_level_Buy_AAON_1:3_ATR[20]_m24/tp/Ticker/
AAP,"Advance Auto Parts, Inc.",430066,MFI[9]_crosses_70_30_levels,Buy,$157.32,$157.54,$156.87,"1:2_ATR[20]",84.2%,1.49%,2.90%,1.96,19.00,7.9,https://arizet.com/quantumstocks/#v/pl/tk/AAP/sn/MFI[9]_crosses_70_30_levels/sg/Buy/bk/MFI[9]_crosses_70_30_levels_Buy_AAP_1:2_ATR[20]_m24/tp/Ticker/
AAP,"Advance Auto Parts, Inc.",430066,MFI[9]_crosses_70_30_levels,Buy,$157.32,$157.54,$156.65,"1:3_ATR[20]",100.0%,2.92%,3.06%,24.72,19.00,9.0,https://arizet.com/quantumstocks/#v/pl/tk/AAP/sn/MFI[9]_crosses_70_30_levels/sg/Buy/bk/MFI[9]_crosses_70_30_levels_Buy_AAP_1:3_ATR[20]_m24/tp/Ticker/
