
Ticker,Name,Price,Volume,Signal,Model,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
LAWS,"Lawson Products, Inc.",$36.61,14136,Buy,BBANDS[50_1_1]_counter_trend,100.0%,3.61%,3.41%,16.65,21.00,4.4,https://arizet.com/quantumstocks/#v/pl/tk/LAWS/sn/BBANDS[50_1_1]_counter_trend/sg/Buy/bk/BBANDS[50_1_1]_counter_trend_Buy_LAWS_1:3_ATR[20]_m24/tp/Ticker/
XOM,"Exxon Mobil Corporation",$70.93,9491217,Buy,CMO[21]_crosses_0_level,100.0%,1.80%,1.71%,11.69,16.00,6.3,https://arizet.com/quantumstocks/#v/pl/tk/XOM/sn/CMO[21]_crosses_0_level/sg/Buy/bk/CMO[21]_crosses_0_level_Buy_XOM_1:3_ATR[20]_m24/tp/Ticker/
WDAY,"Workday, Inc.",$172.30,1411083,Buy,MFI[14]_crosses_70_30_levels,100.0%,3.57%,3.40%,17.76,16.00,6.1,https://arizet.com/quantumstocks/#v/pl/tk/WDAY/sn/MFI[14]_crosses_70_30_levels/sg/Buy/bk/MFI[14]_crosses_70_30_levels_Buy_WDAY_1:3_ATR[20]_m24/tp/Ticker/
VJET,"voxeljet AG",$1.59,13843,Buy,BBANDS[50_1_1]_counter_trend,100.0%,8.25%,9.37%,10.53,15.00,18.1,https://arizet.com/quantumstocks/#v/pl/tk/VJET/sn/BBANDS[50_1_1]_counter_trend/sg/Buy/bk/BBANDS[50_1_1]_counter_trend_Sell_VJET_2:3_ATR[20]_m24/tp/Ticker/
UUU,"Universal Security Instruments, Inc.",$1.01,124235,Buy,ZIGZAGHL[5_15_0_7]_mean_reversion,100.0%,17.88%,17.23%,29.55,16.00,9.1,https://arizet.com/quantumstocks/#v/pl/tk/UUU/sn/ZIGZAGHL[5_15_0_7]_mean_reversion/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_mean_reversion_Buy_UUU_2:3_ATR[20]_m24/tp/Ticker/
USAT,"USA Technologies, Inc.",$7.15,1079023,Buy,TRIMA[50]_price_crossover,100.0%,7.39%,4.56%,5.36,15.00,10.5,https://arizet.com/quantumstocks/#v/pl/tk/USAT/sn/TRIMA[50]_price_crossover/sg/Buy/bk/TRIMA[50]_price_crossover_Buy_USAT_1:3_ATR[20]_m24/tp/Ticker/
ADRO,"Aduro Biotech, Inc.",$1.23,168220,Buy,MACD[10_20_5]_crosses_signal_line,100.0%,8.43%,7.12%,12.00,22.00,10.3,https://arizet.com/quantumstocks/#v/pl/tk/ADRO/sn/MACD[10_20_5]_crosses_signal_line/sg/Buy/bk/MACD[10_20_5]_crosses_signal_line_Sell_ADRO_1:3_ATR[20]_m24/tp/Ticker/
AGRO,"Adecoagro S.A.",$5.53,291998,Buy,RSI[7]_crosses_back_70_30_levels,100.0%,2.80%,2.99%,15.63,15.00,10.1,https://arizet.com/quantumstocks/#v/pl/tk/AGRO/sn/RSI[7]_crosses_back_70_30_levels/sg/Buy/bk/RSI[7]_crosses_back_70_30_levels_Sell_AGRO_1:3_ATR[20]_m24/tp/Ticker/
AHT,"Ashford Hospitality Trust Inc",$2.98,1069656,Buy,EMA[50]_price_crossover,100.0%,3.56%,2.85%,7.08,16.00,5.3,https://arizet.com/quantumstocks/#v/pl/tk/AHT/sn/EMA[50]_price_crossover/sg/Buy/bk/EMA[50]_price_crossover_Buy_AHT_1:3_ATR[20]_m24/tp/Ticker/
APD,"Air Products and Chemicals, Inc.",$225.59,662925,Buy,CMO[21]_crosses_0_level,100.0%,2.10%,2.07%,23.74,19.00,8.8,https://arizet.com/quantumstocks/#v/pl/tk/APD/sn/CMO[21]_crosses_0_level/sg/Buy/bk/CMO[21]_crosses_0_level_Buy_APD_1:3_ATR[20]_m24/tp/Ticker/
