
Ticker,Name,Volume,Model,Signal,Price,TakeProfit,StopLoss,ExitType,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
IDXX,"IDEXX Laboratories, Inc.",415628,CMO[21]_crosses_0_level,Buy,$275.79,$276.67,$273.15,"1:3_ATR[20]",100.0%,2.40%,2.22%,16.87,21.00,8.7,https://arizet.com/quantumstocks/#v/pl/tk/IDXX/sn/CMO[21]_crosses_0_level/sg/Buy/bk/CMO[21]_crosses_0_level_Buy_IDXX_1:3_ATR[20]_m24/tp/Ticker/
APPS,"Digital Turbine, Inc.",2099305,TRIMA[20]_price_crossover,Buy,$7.11,$7.99,$5.35,"1:2_ATR[20]",100.0%,5.77%,5.74%,45.71,26.00,4.8,https://arizet.com/quantumstocks/#v/pl/tk/APPS/sn/TRIMA[20]_price_crossover/sg/Buy/bk/TRIMA[20]_price_crossover_Buy_APPS_1:2_ATR[20]_m24/tp/Ticker/
WMT,"Walmart Inc.",5142541,CDLENGULFING_long_reversal,Buy,$117.62,$118.50,$114.98,"1:3_ATR[20]",100.0%,1.54%,1.48%,27.99,21.00,5.7,https://arizet.com/quantumstocks/#v/pl/tk/WMT/sn/CDLENGULFING_long_reversal/sg/Buy/bk/CDLENGULFING_long_reversal_Buy_WMT_1:3_ATR[20]_m24/tp/Ticker/
AVT,"Avnet, Inc.",895782,CDLENGULFING_long_reversal,Buy,$44.19,$45.07,$41.55,"1:3_ATR[20]",100.0%,2.61%,2.35%,14.56,16.00,9.4,https://arizet.com/quantumstocks/#v/pl/tk/AVT/sn/CDLENGULFING_long_reversal/sg/Buy/bk/CDLENGULFING_long_reversal_Buy_AVT_1:3_ATR[20]_m24/tp/Ticker/
UFPT,"UFP Technologies, Inc.",43296,MFI[9]_crosses_70_30_levels,Buy,$39.12,$40.00,$36.48,"1:3_ATR[20]",100.0%,3.35%,3.47%,9.54,19.00,9.7,https://arizet.com/quantumstocks/#v/pl/tk/UFPT/sn/MFI[9]_crosses_70_30_levels/sg/Buy/bk/MFI[9]_crosses_70_30_levels_Buy_UFPT_1:3_ATR[20]_m24/tp/Ticker/
TEO,"Telecom Argentina Stet - France Telecom S.A.",190507,ZIGZAGHL[5_15_0_7]_mean_reversion,Buy,$9.72,$10.60,$7.08,"1:3_ATR[20]",100.0%,5.33%,5.34%,38.57,17.00,6.5,https://arizet.com/quantumstocks/#v/pl/tk/TEO/sn/ZIGZAGHL[5_15_0_7]_mean_reversion/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_mean_reversion_Buy_TEO_1:3_ATR[20]_m24/tp/Ticker/
AWR,"American States Water Company",228984,BBANDS[10_1_1]_counter_trend,Buy,$89.40,$91.16,$86.76,"2:3_ATR[20]",97.3%,3.91%,3.97%,10.50,37.00,15.7,https://arizet.com/quantumstocks/#v/pl/tk/AWR/sn/BBANDS[10_1_1]_counter_trend/sg/Buy/bk/BBANDS[10_1_1]_counter_trend_Buy_AWR_2:3_ATR[20]_m24/tp/Ticker/
AWR,"American States Water Company",228984,BBANDS[10_1_1]_counter_trend,Buy,$89.40,$90.28,$86.76,"1:3_ATR[20]",100.0%,2.27%,2.00%,8.55,38.00,7.3,https://arizet.com/quantumstocks/#v/pl/tk/AWR/sn/BBANDS[10_1_1]_counter_trend/sg/Buy/bk/BBANDS[10_1_1]_counter_trend_Buy_AWR_1:3_ATR[20]_m24/tp/Ticker/
AWR,"American States Water Company",228984,BBANDS[20_1_1]_counter_trend,Buy,$89.40,$90.28,$86.76,"1:3_ATR[20]",100.0%,2.85%,2.09%,5.26,24.00,9.2,https://arizet.com/quantumstocks/#v/pl/tk/AWR/sn/BBANDS[20_1_1]_counter_trend/sg/Buy/bk/BBANDS[20_1_1]_counter_trend_Buy_AWR_1:3_ATR[20]_m24/tp/Ticker/
SO,"Southern Company (The)",3716111,ZIGZAGHL[5_15_0_7]_trend_follow,Buy,$61.32,$62.20,$58.68,"1:3_ATR[20]",97.8%,1.32%,1.31%,28.51,46.00,11.0,https://arizet.com/quantumstocks/#v/pl/tk/SO/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Buy_SO_1:3_ATR[20]_m24/tp/Ticker/
