index,date,signal,ticker,trade_date
0,2019-09-17,Sell,AFL,2019-09-17
1,2019-09-17,Buy,AMGN,2019-09-17
2,2019-09-17,Sell,AXL,2019-09-17
3,2019-09-17,Buy,CBZ,2019-09-17
4,2019-09-17,Buy,QQQ,2019-09-17
5,2019-09-17,Sell,COMM,2019-09-17
6,2019-09-17,Sell,MDSO,2019-09-17
7,2019-09-17,Sell,JOBS,2019-09-17
8,2019-09-17,Sell,CMP,2019-09-17
9,2019-09-17,Buy,BLFS,2019-09-17
10,2019-09-17,Buy,ADUS,2019-09-17
11,2019-09-17,Buy,PWR,2019-09-17
12,2019-09-17,Sell,NDLS,2019-09-17
13,2019-09-17,Sell,LRN,2019-09-17
14,2019-09-17,Sell,ETH,2019-09-17
15,2019-09-17,Buy,EGP,2019-09-17
16,2019-09-17,Buy,CNCE,2019-09-17
17,2019-09-17,Sell,CSII,2019-09-17
18,2019-09-17,Buy,NMIH,2019-09-17
19,2019-09-17,Buy,SAVE,2019-09-17
20,2019-09-17,Sell,KRNY,2019-09-17
21,2019-09-17,Sell,ESTE,2019-09-17
22,2019-09-17,Buy,TRU,2019-09-17
23,2019-09-17,Buy,WWD,2019-09-17
24,2019-09-17,Sell,KLAC,2019-09-17
25,2019-09-17,Buy,DOX,2019-09-17
26,2019-09-17,Buy,DRNA,2019-09-17
27,2019-09-17,Buy,TSN,2019-09-17
28,2019-09-17,Sell,SAVE,2019-09-17
29,2019-09-17,Sell,PBH,2019-09-17
30,2019-09-17,Buy,NTGR,2019-09-17
31,2019-09-17,Sell,BGG,2019-09-17
32,2019-09-17,Buy,EFX,2019-09-17
33,2019-09-17,Buy,ACC,2019-09-17
34,2019-09-17,Sell,SM,2019-09-17
35,2019-09-17,Buy,ERIE,2019-09-17
36,2019-09-17,Sell,FITB,2019-09-17
37,2019-09-17,Buy,NHI,2019-09-17
38,2019-09-17,Buy,NRZ,2019-09-17
39,2019-09-17,Buy,NWS,2019-09-17
40,2019-09-17,Sell,HAIN,2019-09-17
41,2019-09-17,Buy,ED,2019-09-17
42,2019-09-17,Buy,ZBH,2019-09-17
43,2019-09-17,Sell,ORBC,2019-09-17
44,2019-09-17,Sell,PLD,2019-09-17
45,2019-09-17,Buy,CPT,2019-09-17
46,2019-09-17,Sell,CINF,2019-09-17
47,2019-09-17,Sell,AIR,2019-09-17
48,2019-09-17,Sell,CYTK,2019-09-17
49,2019-09-17,Buy,TDS,2019-09-17
50,2019-09-17,Buy,NRG,2019-09-17
51,2019-09-17,Sell,CVGW,2019-09-17
52,2019-09-17,Sell,DIOD,2019-09-17
53,2019-09-17,Buy,BAP,2019-09-17
54,2019-09-17,Buy,MDSO,2019-09-17
55,2019-09-17,Sell,WDR,2019-09-17
56,2019-09-17,Sell,SAGE,2019-09-17
57,2019-09-17,Sell,PRIM,2019-09-17
58,2019-09-17,Sell,PWR,2019-09-17
59,2019-09-17,Sell,WUBA,2019-09-17
60,2019-09-17,Buy,CYTK,2019-09-17
61,2019-09-17,Buy,AMBC,2019-09-17
62,2019-09-17,Buy,WCN,2019-09-17
63,2019-09-17,Sell,QEP,2019-09-17
64,2019-09-17,Buy,TRK,2019-09-17
65,2019-09-17,Sell,CPS,2019-09-17
66,2019-09-17,Buy,MKTX,2019-09-17
67,2019-09-17,Sell,RYAAY,2019-09-17
68,2019-09-17,Buy,CINF,2019-09-17
69,2019-09-17,Buy,VRSN,2019-09-17
70,2019-09-17,Sell,ATO,2019-09-17
71,2019-09-17,Sell,FORM,2019-09-17
