index,date,signal,ticker
0,2019-09-06,Sell,T
1,2019-09-06,Buy,APD
2,2019-09-09,Sell,HE
3,2019-09-09,Buy,BHLB
4,2019-09-09,Buy,VEEV
5,2019-09-09,Sell,MSI
6,2019-09-09,Sell,APD
7,2019-09-09,Sell,VEEV
8,2019-09-09,Sell,T
9,2019-09-10,Buy,AAN
10,2019-09-10,Sell,AWR
11,2019-09-10,Buy,AWR
12,2019-09-11,Buy,HE
13,2019-09-11,Buy,WTR
14,2019-09-11,Buy,AWR
15,2019-09-13,Sell,HE
16,2019-09-13,Buy,UFI
17,2019-09-13,Sell,UFI
18,2019-09-13,Buy,NWHM
19,2019-09-17,Buy,RMD
20,2019-09-18,Buy,WMT
21,2019-09-18,Buy,HE
22,2019-09-19,Sell,ESI
23,2019-09-19,Buy,POOL
24,2019-09-20,Buy,POOL
25,2019-09-20,Buy,CWST
26,2019-09-23,Buy,CASY
27,2019-09-23,Sell,BCH
28,2019-09-23,Buy,IDXX
29,2019-09-24,Sell,ESI
30,2019-09-24,Sell,PACW
31,2019-09-25,Buy,MSI
32,2019-09-25,Buy,BRKR
33,2019-09-25,Buy,EVER
34,2019-09-25,Buy,AWR
35,2019-09-26,Sell,ESI
36,2019-09-26,Buy,IDXX
37,2019-09-30,Buy,PULS
38,2019-09-30,Sell,DEI
39,2019-09-30,Buy,AJG
40,2019-09-30,Buy,RST
41,2019-09-30,Buy,CMCSA
42,2019-09-30,Buy,MSI
43,2019-10-01,Buy,VSAT
44,2019-10-01,Buy,CWST
45,2019-10-01,Sell,DKS
46,2019-10-02,Buy,ARCC
47,2019-10-02,Buy,AWR
48,2019-10-02,Buy,VSAT
49,2019-10-03,Buy,CWST
50,2019-10-03,Buy,TEX
51,2019-10-03,Buy,KO
52,2019-10-03,Buy,AWR
53,2019-10-04,Buy,IDXX
54,2019-10-04,Buy,TXRH
55,2019-10-04,Buy,FLIR
56,2019-10-04,Buy,CMCSA
57,2019-10-04,Sell,DEI
58,2019-10-04,Buy,AWR
59,2019-10-04,Buy,HE
60,2019-10-04,Buy,HES
61,2019-10-04,Buy,VSAT
62,2019-10-04,Buy,AJG
63,2019-10-08,Buy,GRUB
64,2019-10-08,Sell,CPLP
65,2019-10-09,Buy,TCO
66,2019-10-09,Buy,KO
67,2019-10-09,Buy,HES
68,2019-10-09,Buy,HE
69,2019-10-11,Buy,GPC
70,2019-10-11,Buy,NDAQ
71,2019-10-11,Buy,IDXX
72,2019-10-11,Sell,ALK
73,2019-10-11,Buy,CMCSA
74,2019-10-11,Sell,WSBF
75,2019-10-11,Buy,JBT
76,2019-10-14,Buy,INFY
77,2019-10-15,Buy,CCI
78,2019-10-15,Sell,ALK
79,2019-10-16,Buy,XEL
80,2019-10-16,Buy,MKC
81,2019-10-17,Sell,ALK
82,2019-10-17,Buy,BHLB
83,2019-10-17,Buy,AJG
84,2019-10-17,Sell,AI
