index,date,ticker,name,price,volume,signal,success,tscore,trades
0,2019-09-06T00:00:00.000Z,PRTK,PARATEK PHARMA,3.89,266962,Sell,1.0,18.272256358614577,20
1,2019-09-06T00:00:00.000Z,PGC,PEAPACK GLADSTN,27.71,76403,Buy,1.0,6.267186769347563,19
2,2019-09-06T00:00:00.000Z,PGR,PROGRESSIVE COR,77.41,1387600,Buy,1.0,4.841124254972943,18
3,2019-09-06T00:00:00.000Z,PIR,PIER 1 IMPORTS,6.15,1142379,Sell,1.0,7.373253908791205,16
4,2019-09-06T00:00:00.000Z,BURL,BURLINGTON STRS,200.42,550308,Buy,1.0,19.343358877819973,15
5,2019-09-06T00:00:00.000Z,BSET,BASSETT FURNITR,12.99,58817,Sell,1.0,6.5846801932411045,15
6,2019-09-06T00:00:00.000Z,BSET,BASSETT FURNITR,12.99,58817,Sell,1.0,16.08020228065719,18
7,2019-09-06T00:00:00.000Z,RP,REALPAGE INC,63.98,210811,Buy,1.0,15.11099505343874,18
8,2019-09-06T00:00:00.000Z,BRX,BRIXMOR PPTY GP,19.26,1983107,Sell,1.0,47.26568982020626,21
9,2019-09-06T00:00:00.000Z,BLMN,BLOOMIN BRANDS,18.89,1644999,Sell,1.0,47.35260686375818,15
10,2019-09-06T00:00:00.000Z,SAIA,SAIA INC,89.65,321259,Buy,1.0,6.284245886074687,17
11,2019-09-06T00:00:00.000Z,SBLK,STAR BULK CARRS,10.69,585930,Buy,1.0,14.798723701140403,16
12,2019-09-06T00:00:00.000Z,SEAC,SEACHANGE INTL,3.07,775100,Buy,1.0,6.832114806618074,15
13,2019-09-06T00:00:00.000Z,SFL,SHIP FIN INTL,14.385,341601,Buy,1.0,4.8593415266292075,19
14,2019-09-06T00:00:00.000Z,SIRI,SIRIUS XM HLDGS,6.25,23675077,Buy,1.0,19.245019569186887,23
15,2019-09-06T00:00:00.000Z,BHLB,BERKSHIRE HILLS,29.59,121682,Buy,1.0,6.0411141373835004,34
16,2019-09-06T00:00:00.000Z,CHE,CHEMED CORP,440.21,118528,Buy,1.0,10.000817040680152,16
17,2019-09-06T00:00:00.000Z,BHLB,BERKSHIRE HILLS,29.59,121682,Buy,1.0,6.488287700379119,26
