"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AGR","Avangrid, Inc.","Utilities","Gas Utilities","USA",16263.76,25.62,52.54,0.63%,407784
2,"CME","CME Group Inc.","Financial","Investment Brokerage - National","USA",75539.04,37.42,212.99,1.79%,1715039
3,"DGX","Quest Diagnostics Incorporated","Healthcare","Medical Laboratories & Research","USA",14693.06,21.10,109.47,1.56%,1516855
4,"DHI","D.R. Horton, Inc.","Industrial Goods","Residential Construction","USA",21833.25,13.90,59.67,1.98%,7344232
5,"FCPT","Four Corners Property Trust, Inc.","Financial","REIT - Hotel/Motel","USA",2054.10,27.55,30.11,1.38%,1117431
6,"GRBK","Green Brick Partners, Inc.","Financial","Real Estate Development","USA",611.94,11.17,12.36,0.24%,142638
7,"HIW","Highwoods Properties, Inc.","Financial","REIT - Office","USA",5154.12,41.87,50.24,0.10%,2011555
8,"HR","Healthcare Realty Trust Incorporated","Financial","REIT - Healthcare Facilities","USA",4690.14,169.90,35.68,0.25%,547894
9,"MCFT","MasterCraft Boat Holdings, Inc.","Consumer Goods","Recreational Vehicles","USA",339.26,15.71,17.96,0.62%,275307
10,"NDSN","Nordson Corporation","Industrial Goods","Diversified Machinery","USA",9846.00,29.44,173.01,1.19%,297347
11,"NEM","Newmont Corporation","Basic Materials","Gold","USA",36539.20,15.31,44.56,0.61%,7127760
12,"PACQ","Pure Acquisition Corp.","Conglomerates","Conglomerates","USA",394.69,77.33,10.44,0.10%,920021
13,"SO","The Southern Company","Utilities","Electric Utilities","USA",73087.52,16.10,69.74,0.43%,4405132
14,"TRI","Thomson Reuters Corporation","Services","Publishing - Periodicals","USA",39198.43,188.63,79.79,0.81%,732686
15,"TRTX","TPG RE Finance Trust, Inc.","Financial","Mortgage Investment","USA",1527.03,12.04,20.63,0.54%,320675
16,"VIVO","Meridian Bioscience, Inc.","Healthcare","Diagnostic Substances","USA",491.12,20.25,11.50,20.67%,3486234
17,"WCN","Waste Connections, Inc.","Industrial Goods","Waste Management","USA",25994.90,46.02,98.52,0.10%,849921
