"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AMSC","American Superconductor Corporation","Industrial Goods","Industrial Electrical Equipment","USA",161.09,24.88,7.24,-2.16%,295350
2,"ANIK","Anika Therapeutics, Inc.","Healthcare","Biotechnology","USA",715.13,23.01,49.80,-0.66%,185368
3,"APRN","Blue Apron Holdings, Inc.","Services","Specialty Retail, Other","USA",74.79,,5.35,-5.81%,398549
4,"CMD","Cantel Medical Corp.","Healthcare","Medical Instruments & Supplies","USA",2777.57,63.67,64.37,-1.32%,394053
5,"EBIX","Ebix, Inc.","Technology","Business Software & Services","USA",988.76,11.34,31.60,-2.53%,299457
6,"EHTH","eHealth, Inc.","Financial","Insurance Brokers","USA",2180.51,834.50,92.63,-1.90%,1022336
7,"ENTA","Enanta Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",1189.93,26.50,58.82,-2.50%,216699
8,"GATX","GATX Corporation","Services","Rental & Leasing Services","USA",2840.94,15.81,80.48,-0.58%,209643
9,"HBI","Hanesbrands Inc.","Consumer Goods","Textile - Apparel Clothing","USA",5081.77,8.74,13.84,-1.49%,7484546
10,"MPAA","Motorcar Parts of America, Inc.","Consumer Goods","Auto Parts","USA",389.45,,20.53,-0.05%,222215
11,"NYT","The New York Times Company","Services","Publishing - Newspapers","USA",5233.44,41.83,31.25,-0.86%,1259173
12,"OLLI","Ollie's Bargain Outlet Holdings, Inc.","Services","Discount, Variety Stores","USA",3744.65,27.11,57.77,-1.79%,1074786
13,"PTLA","Portola Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",1925.15,,14.76,-40.34%,19819518
14,"TISI","Team, Inc.","Services","Business Services","USA",464.64,,15.12,-1.18%,134495
15,"TRUP","Trupanion, Inc.","Financial","Accident & Health Insurance","USA",1204.85,,31.23,-9.43%,592182
16,"UI","Ubiquiti Inc.","Technology","Communication Equipment","USA",12090.36,29.46,184.22,-1.19%,152080
17,"WDFC","WD-40 Company","Basic Materials","Specialty Chemicals","USA",2628.96,39.93,185.53,-3.27%,393559
18,"WWE","World Wrestling Entertainment, Inc.","Services","Entertainment - Diversified","USA",5001.46,115.82,60.69,-4.68%,2207350
